CODIGO;CODIGO_BARRAS;DESCRICAO;GRUPO;TAMANHO;NCM;PRECO_CUSTO;MARGEM_LUCRO;PRECO_VENDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_ATUAL;UNIDADE;CONTROLA_ESTOQUE;CFOP;CSOSN;CST;ICMS;ATIVO;EXIBIR_TELA;SOLICITA_QUANTIDADE;PERMITIR_COMBINACAO;CEST;CST_PIS;PIS;CST_COFINS;COFINS
39;;PIZZA DOCE - TRES AMORES ;PIZZA ; PEQUENA;19022000.0;0;0;28;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
40;;PIZZA DOCE - ROMEU E JULIETA ;PIZZA ; PEQUENA;19022000.0;0;0;28;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
41;;PIZZA DOCE - I;PIZZA ; PEQUENA;19022000.0;0;0;28;0;0;-7;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
67;;FATIA DE PIZZA SIMPLES;FATIAS DE PIZZA ;;19022000.0;0;0;5,5;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
68;;FATIA DE PIZZA ESPECIAL OU DOCE;FATIAS DE PIZZA ;;19022000.0;0;0;6,5;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
163;;PIZZA SIMPLES - CALABRESA ;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-30;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
164;;PIZZA SIMPLES - CAIPIRA;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-5,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
165;;PIZZA SIMPLES - BAIANA ;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-1,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
166;;PIZZA SIMPLES - CALACHEDDAR;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
167;;PIZZA SIMPLES - FRANCHEDDAR;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
168;;PIZZA SIMPLES - MARGUETITA;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-4,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
169;;PIZZA SIMPLES - MISTA 1;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
170;;PIZZA SIMPLES - PRESUNTO;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
171;;PIZZA SIMPLES - VEGETARIANA;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
172;;PIZZA SIMPLES - MISTA 2;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
173;;PIZZA SIMPLES - PORTUGUESA;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-9;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
174;;PIZZA SIMPLES - SICILIANA;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-9,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
175;;PIZZA SIMPLES - CATUPIREZA;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-2,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
176;;PIZZA SIMPLES - BACON;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
177;;PIZZA SIMPLES - MUSSARELA ;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-4,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
178;;PIZZA SIMPLES - BRASILEIRA ;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-12,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
179;;PIZZA SIMPLES - FRANGO ;PIZZA ; MEDIA;19022000.0;0;0;36;0;0;-6,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
180;;PIZZA ESPECIAL - FRANGO CATUPIRY ORIGINAL ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-37,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
181;;PIZZA ESPECIAL - NORDESTINA ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-30,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
182;;PIZZA ESPECIAL - SERTANEJA ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-42;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
183;;PIZZA ESPECIAL - CARNE DE SOL NA NATA;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-42,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
184;;PIZZA ESPECIAL - SANTACRUZENSE ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-24;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
185;;PIZZA ESPECIAL - QUATRO QUEIJOS ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-27;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
186;;PIZZA ESPECIAL - FILE;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
187;;PIZZA ESPECIAL - FILE COM FRITAS;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-11;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
188;;PIZZA ESPECIAL - ATUM ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
189;;PIZZA ESPECIAL - DOM MATEUS;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-26;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
190;;PIZZA ESPECIAL - PEPPERONI;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
191;;PIZZA ESPECIAL - ITALIANA;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-1,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
192;;PIZZA ESPECIAL - A MODA DA CASA;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-14;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
193;;PIZZA ESPECIAL - STROGONOFF;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
194;;PIZZA ESPECIAL - PEITO DE PERU;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
195;;PIZZA ESPECIAL - CALAFRITAS;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
196;;PIZZA DOCE - BEIJINHO ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
197;;PIZZA DOCE - CHOCOLATE;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
198;;PIZZA DOCE - CHOCOBANA;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-2;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
199;;PIZZA DOCE - CHOCOLATE BRANCO ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
200;;PIZZA DOCE - DOIS AMORES ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
201;;PIZZA DOCE - TRES AMORES ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
