CODIGO;CODIGO_BARRAS;DESCRICAO;GRUPO;TAMANHO;NCM;PRECO_CUSTO;MARGEM_LUCRO;PRECO_VENDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_ATUAL;UNIDADE;CONTROLA_ESTOQUE;CFOP;CSOSN;CST;ICMS;ATIVO;EXIBIR_TELA;SOLICITA_QUANTIDADE;PERMITIR_COMBINACAO;CEST;CST_PIS;PIS;CST_COFINS;COFINS
305;;Trident;DIVERSOS;;20079990;0;0;2;0;0;-3;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
306;;Halls;DIVERSOS;;0;0;0;2;0;0;-16;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
307;;Baton Garoto;DIVERSOS;;0;0;0;2;0;0;-44;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
308;;Serenata;DIVERSOS;;0;0;0;2;0;0;-15;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
309;;Balinha;DIVERSOS;;0;0;0;0,2;0;0;-18;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
310;;Caramelo;DIVERSOS;;0;0;0;0,5;0;0;-13;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
311;;Pirulito Pop;DIVERSOS;;0;0;0;1;0;0;-65;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
312;;Amdendoim;DIVERSOS;;0;0;0;2;0;0;-93;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
313;;Picole de Brigadeiro;DIVERSOS;;0;0;0;6;0;0;-11;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
314;;Picole Lapis;DIVERSOS;;0;0;0;2,5;0;0;-25;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
315;;Picole de Coracao;DIVERSOS;;0;0;0;6;0;0;-17;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
316;;Picole Chocolate;DIVERSOS;;0;0;0;4;0;0;-29;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
317;;Sterbom;DIVERSOS;;0;0;0;7;0;0;-15;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
86;;DRINK - CAIPIRINHA ;DRINKS ;;22089000;0;0;7;0;0;-118;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
87;;DRINK - CAIPIROSCA;DRINKS ;;22089000;0;0;8;0;0;-29;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
88;;DRINK - ESPANHOLA;DRINKS ;;22089000;0;0;10;0;0;-49;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
89;;DRINK - MORANGO FROZEN;DRINKS ;;22089000;0;0;10;0;0;-45;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
90;;DRINK - DOM MATEUS;DRINKS ;;22089000;0;0;15;0;0;-6;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
91;;DRINK - PINA COLADA;DRINKS ;;22089000;0;0;12;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
42;;FILE A PARMEGIANA - 1 PESSOA ;PARMEGIANAS ;;16023290;0;0;23;0;0;-91;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
43;;FILE A PARMEGIANA - 2 PESSOAS;PARMEGIANAS ;;16023290;0;0;36;0;0;-143;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
44;;FILE A PARMEGIANA - 3 PESSOAS;PARMEGIANAS ;;16023290;0;0;46;0;0;-117;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
45;;CAMARAO A PARMEGIANA - 1 PESSOA;PARMEGIANAS ;;16023290;0;0;33;0;0;-19;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
46;;CAMARAO A PARMEGIANA - 2 PESSOAS;PARMEGIANAS ;;16023290;0;0;52;0;0;-16;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
47;;CAMARAO A PARMEGIANA - 3 PESSOAS;PARMEGIANAS ;;16023290;0;0;62;0;0;-10;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
328;;FRANGO A PARMEGIANA - 1 PESSOA ;PARMEGIANAS ;;16023290;0;0;23;0;0;-5;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
329;;FRANGO A PARMEGIANA - 2 PESSOAS;PARMEGIANAS ;;16023290;0;0;36;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
330;;FRANGO A PARMEGIANA - 3 PESSOAS;PARMEGIANAS ;;16023290;0;0;46;0;0;-7;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
48;;PASTEL - CHOCOLATE ;PASTEL ;;19059090;0;0;15;0;0;-50;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
49;;PASTEL - CAMARAO, CATUPIRY ORIGINAL;PASTEL ;;19059090;0;0;18;0;0;-39;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
50;;PASTEL - CARNE DE SOL, MUSSARELA;PASTEL ;;19059090;0;0;18;0;0;-55;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
51;;PASTEL - FRANGO, CATUPIRY ORIGINAL;PASTEL ;;19059090;0;0;18;0;0;-43;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
52;;PASTEL - QUEIJO MUSSARELA;PASTEL ;;19059090;0;0;15;0;0;-23;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
53;;PASTEL - QUEIJO E PRESUNTO;PASTEL ;;19059090;0;0;15;0;0;-26;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
54;;PASTEL - MISTO;PASTEL ;;19059090;0;0;18;0;0;-50;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
55;;PASTEL - DOM MATEUS;PASTEL ;;19059090;0;0;15;0;0;-44;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
295;;BORDA CREAM CHEESE - P;PIZZA;PEQUENA;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
296;;BORDA CREAM CHEESE - M;PIZZA;MEDIA;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
297;;BORDA CREAM CHEESE - G;PIZZA;GRANDE;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
298;;BORDA CREAM CHEESE - GG;PIZZA;GIGANTE;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
320;;BORDA CHEDDAR ORIGINAL - P;PIZZA;PEQUENA;19059090;0;0;0;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
321;;BORDA CHEDDAR ORIGINAL - M;PIZZA;MEDIA;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
322;;BORDA CHEDDAR ORIGINAL - G;PIZZA;GRANDE;19059090;0;0;0;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
323;;BORDA CHEDDAR ORIGINAL - GG;PIZZA;GIGANTE;19059090;0;0;0;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
324;;BORDA CHEDDAR SIMPLES - P;PIZZA;PEQUENA;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
325;;BORDA CHEDDAR SIMPLES - M;PIZZA;MEDIA;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
326;;BORDA CHEDDAR SIMPLES - G;PIZZA;GRANDE;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
327;;BORDA CHEDDAR SIMPLES - GG;PIZZA;GIGANTE;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
1;;PIZZA SIMPLES - CALABRESA ;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-48;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
2;;PIZZA SIMPLES - CAIPIRA;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-6,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
3;;PIZZA SIMPLES - BAIANA ;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
4;;PIZZA SIMPLES - CALACHEDDAR;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
5;;PIZZA SIMPLES - FRANCHEDDAR;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
6;;PIZZA SIMPLES - MARGUETITA;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-8,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
7;;PIZZA SIMPLES - MISTA 1;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-0,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
8;;PIZZA SIMPLES - PRESUNTO;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
9;;PIZZA SIMPLES - VEGETARIANA;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
10;;PIZZA SIMPLES - MISTA 2;PIZZA ;PEQUENA;19022000;0;0;26;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
11;;PIZZA SIMPLES - PORTUGUESA;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-19;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
12;;PIZZA SIMPLES - SICILIANA;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
13;;PIZZA SIMPLES - CATUPIREZA;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-2;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
14;;PIZZA SIMPLES - BACON;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
15;;PIZZA SIMPLES - MUSSARELA ;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-6,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
16;;PIZZA SIMPLES - BRASILEIRA ;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-15;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
17;;PIZZA SIMPLES - FRANGO ;PIZZA ;PEQUENA;19022000;0;0;26;0;0;-5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
18;;PIZZA ESPECIAL - FRANGO CATUPIRY ORIGINAL ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-52;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
19;;PIZZA ESPECIAL - NORDESTINA ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-44;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
20;;PIZZA ESPECIAL - SERTANEJA ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-46;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
21;;PIZZA ESPECIAL - CARNE DE SOL NA NATA;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-40,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
22;;PIZZA ESPECIAL - SANTACRUZENSE ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-25;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
23;;PIZZA ESPECIAL - QUATRO QUEIJOS ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-24;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
24;;PIZZA ESPECIAL - FILE;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
25;;PIZZA ESPECIAL - FILE COM FRITAS;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-21,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
26;;PIZZA ESPECIAL - ATUM ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-2,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
27;;PIZZA ESPECIAL - DOM MATEUS;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-20,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
28;;PIZZA ESPECIAL - PEPPERONI;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-10;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
29;;PIZZA ESPECIAL - ITALIANA;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
30;;PIZZA ESPECIAL - A MODA DA CASA;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-10,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
31;;PIZZA ESPECIAL - STROGONOFF;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
32;;PIZZA ESPECIAL - PEITO DE PERU;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-2,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
33;;PIZZA ESPECIAL - CALAFRITAS;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
34;;PIZZA DOCE - BEIJINHO ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
35;;PIZZA DOCE - CHOCOLATE;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-17;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
36;;PIZZA DOCE - CHOCOBANA;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-11;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
37;;PIZZA DOCE - CHOCOLATE BRANCO ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-1,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
38;;PIZZA DOCE - DOIS AMORES ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-7;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
39;;PIZZA DOCE - TRES AMORES ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
40;;PIZZA DOCE - ROMEU E JULIETA ;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
41;;PIZZA DOCE - I;PIZZA ;PEQUENA;19022000;0;0;28;0;0;-7;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
141;;BORDA CHOCOLATE AO LEITE - P;PIZZA ;PEQUENA;19059090;0;0;0;0;0;-9;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
142;;BORDA CHOCOLATE AO LEITE - M;PIZZA ;MEDIA;19059090;0;0;0;0;0;-7;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
143;;BORDA CHOCOLATE AO LEITE- G;PIZZA ;GRANDE;19059090;0;0;0;0;0;-13;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
144;;BORDA CHOCOLATE AO LEITE - GG;PIZZA ;GIGANTE;19059090;0;0;0;0;0;-23;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
145;;BORDA CATUPIRY ORIGINAL - P;PIZZA ;PEQUENA;19059090;0;0;0;0;0;-5;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
146;;BORDA CATUPIRY ORIGINAL - M;PIZZA ;MEDIA;19059090;0;0;0;0;0;-6;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
147;;BORDA CATUPIRY ORIGINAL - G;PIZZA ;GRANDE;19059090;0;0;0;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
148;;BORDA CATUPIRY ORIGINAL - GG;PIZZA ;GIGANTE;19059090;0;0;0;0;0;-14;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
149;;BORDA REQUEIJAO SIMPLES - P;PIZZA ;PEQUENA;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
150;;BORDA REQUEIJAO SIMPLES - M;PIZZA ;MEDIA;19059090;0;0;0;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
151;;BORDA REQUEIJAO SIMPLES - G;PIZZA ;GRANDE;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
152;;BORDA REQUEIJAO SIMPLES - GG;PIZZA ;GIGANTE;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
154;;BORDA CHOCOLATE BRANCO - P;PIZZA ; PEQUENA;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
155;;BORDA CHOCOLATE BRANCO - M;PIZZA ; MEDIA;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
156;;BORDA CHOCOLATE BRANCO - G;PIZZA ; GRANDE;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
157;;BORDA CHOCOLATE BRANCO - GG;PIZZA ; GIGANTE;19059090;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
158;;BORDA DOCE DE LEITE - P;PIZZA ;PEQUENA;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
159;;BORDA DOCE DE LEITE - M;PIZZA ; MEDIA;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
160;;BORDA DOCE DE LEITE - G;PIZZA ;;19059090;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
161;;BORDA DOCE DE LEITE - GG;PIZZA ;;19059090;0;0;0;0;0;-2;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
163;;PIZZA SIMPLES - CALABRESA ;PIZZA ;MEDIA;19022000;0;0;36;0;0;-30;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
164;;PIZZA SIMPLES - CAIPIRA;PIZZA ;MEDIA;19022000;0;0;36;0;0;-5,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
165;;PIZZA SIMPLES - BAIANA ;PIZZA ;MEDIA;19022000;0;0;36;0;0;-1,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
166;;PIZZA SIMPLES - CALACHEDDAR;PIZZA ;MEDIA;19022000;0;0;36;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
167;;PIZZA SIMPLES - FRANCHEDDAR;PIZZA ;MEDIA;19022000;0;0;36;0;0;-3,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
168;;PIZZA SIMPLES - MARGUETITA;PIZZA ;MEDIA;19022000;0;0;36;0;0;-4,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
169;;PIZZA SIMPLES - MISTA 1;PIZZA ;MEDIA;19022000;0;0;36;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
170;;PIZZA SIMPLES - PRESUNTO;PIZZA ;MEDIA;19022000;0;0;36;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
171;;PIZZA SIMPLES - VEGETARIANA;PIZZA ;MEDIA;19022000;0;0;36;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
172;;PIZZA SIMPLES - MISTA 2;PIZZA ;MEDIA;19022000;0;0;36;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
173;;PIZZA SIMPLES - PORTUGUESA;PIZZA ;MEDIA;19022000;0;0;36;0;0;-9;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
